Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Équateur,ECU,16827.863,20718.55,36460.981,36482.983,32526.29,41451.768,46152.862,43270.6,41154.741,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,"Égypte, République arabe d’",EGY,75540.2,141326.18,202715.427,217412.763,220108.008,214402.156,227852.712,224581.748,238560.352,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,El Salvador,SLV,2519.229,5753.523,6457.587,6648.271,6662.939,6230.233,6285.238,6849.956,7168.985,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Guinée équatoriale,GNQ,62.339,458.375,6893.96,9398.521,6985.635,7700.7,7308.331,6028.548,5654.514,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Érythrée,ERI,..,608.722,502.379,579.386,645.392,652.726,711.398,693.063,711.398,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Estonie,EST,..,14858.684,17781.283,18096.645,17146.892,19332.424,18173.652,16362.154,16589.508,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Eswatini,SWZ,964.421,1191.775,1059.763,1074.431,1235.779,1525.472,902.082,982.756,1155.105,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Éthiopie,ETH,3017.941,3549.656,6527.26,7135.982,8518.441,10410.613,12434.797,13718.247,14869.685,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Îles Féroé,FRO,704.064,689.396,630.724,568.385,590.387,678.395,597.721,608.722,630.724,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Fidji,FJI,814.074,843.41,1221.111,1089.099,1059.763,1338.455,1646.483,2156.196,2046.186,..,..,..
